Institution Code,District Code,District Name,Total,Male,Female,American Indian,Asian American,Black,White,Hispanic,Pacific Islander,Two or More races
11,165,Windsor Locks School District,1666,872,794,,138,145,1125,178,,73
11,166,Wolcott School District,2483,1274,1209,,45,51,2141,166,0,79
11,167,Woodbridge School District,768,385,383,,108,28,570,38,6,15
11,169,Woodstock School District,898,442,456,0,8,,828,27,0,30
12,201,Regional School District 01,428,195,233,,,6,378,23,0,15
12,204,Regional School District 04,978,478,500,,14,15,876,57,0,14
12,205,Regional School District 05,2330,1194,1136,7,264,70,1868,92,,28
12,206,Regional School District 06,995,481,514,,6,10,926,29,,17
12,207,Regional School District 07,1123,542,581,,10,6,1081,22,0,
12,208,Regional School District 08,1736,921,815,,24,8,1654,38,0,9
12,209,Regional School District 09,1065,528,537,6,32,9,955,45,0,18
12,210,Regional School District 10,2563,1337,1226,,57,12,2400,74,,14
12,211,Regional School District 11,287,150,137,,,8,245,24,0,6
12,212,Regional School District 12,796,394,402,0,10,9,751,16,6,
12,213,Regional School District 13,1860,972,888,0,27,10,1693,71,0,59
12,214,Regional School District 14,1880,880,1000,,37,10,1777,48,0,
12,215,Regional School District 15,3967,2052,1915,8,205,59,3490,170,,32
12,216,Regional School District 16,2338,1154,1184,,33,55,2132,112,0,
12,217,Regional School District 17,2264,1174,1090,,52,38,2124,11,0,37
12,218,Regional School District 18,1406,720,686,,47,10,1270,52,0,26
12,219,Regional School District 19,1194,586,608,,60,23,1028,73,,6
13,261,Jumoke Academy District,704,320,384,0,0,683,0,19,0,
13,263,Odyssey Community School Distr,325,172,153,,33,72,155,54,0,10
13,264,Integrated Day Charter School,330,167,163,,31,28,200,42,0,28
13,265,Interdistrict School for Arts,246,107,139,,,39,72,117,0,10
13,268,Common Ground High School Dist,180,98,82,0,,58,39,75,0,7
13,269,The Bridge Academy District,277,135,142,,,153,,102,,11
13,270,Side By Side Charter School Di,235,122,113,0,18,62,43,96,,14
13,272,Explorations District,83,42,41,,,,76,,0,
13,278,Trailblazers Academy District,162,89,73,0,,89,6,63,0,
13,279,Amistad Academy District,937,468,469,,0,561,16,340,0,17
13,280,New Beginnings Inc. Family Aca,402,200,202,0,0,284,8,101,,8
13,282,Stamford Academy District,149,81,68,0,0,91,,53,0,
13,283,Park City Prep Charter School,260,126,134,0,,140,13,103,0,
13,285,Bridgeport Achievement First D,835,415,420,,7,470,11,340,0,6
13,286,Highville Charter School Distr,361,180,181,0,,340,,12,0,
13,288,Achievement First Hartford Aca,871,456,415,,,723,,134,,10
13,289,Elm City College Preparatory S,624,278,346,,,472,7,136,0,
13,290,Brass City Charter School Dist,115,51,64,0,,35,20,47,0,12
14,241,Capitol Region Education Counc,7179,3642,3537,22,439,2044,2349,2080,,241
14,242,Education Connection,228,122,106,,6,9,161,50,0,0
14,243,Cooperative Educational Servic,822,492,330,0,33,242,283,243,,20
14,244,Area Cooperative Educational S,1933,1137,796,6,79,562,668,567,0,51
14,245,Learn,2137,1046,1091,12,66,280,853,660,,261
14,253,Eastern Connecticut Regional E,367,171,196,,,19,272,59,0,11
15,336,Unified School District #1,538,516,22,0,0,280,52,192,0,14
15,337,Department of Mental Health an,,,,0,0,,,,0,0
15,347,Unified School District #2,197,159,38,,,87,47,56,,
16,900,Connecticut Technical High Sch,10699,6514,4185,51,96,1375,5414,3499,13,251
22,901,Norwich Free Academy District,2325,1075,1250,43,187,326,1345,366,18,40
22,902,The Gilbert School District,537,315,222,,34,14,398,68,0,22
22,903,Woodstock Academy District,1033,514,519,,102,,881,28,0,15
,,State Total,545614,280981,264633,1548,25436,70626,319088,115546,511,12859
11,1,Andover School District,298,157,141,0,,,274,11,0,6
